Name,Gender,Usage,Meaning
ANNIS,f,English,Medieval English form of AGNES.
ANNMARIE,f,English,Combination of ANN and MARIE.
ANNORA,f,English (Rare),Medieval English variant of HONORA.
ANONA,f,English,Meaning unknown. It was possibly inspired by an American song by this name written by Vivian Grey in 1903 and recorded by musician Vess Ossman. The lyrics tell of a Native American woman named Anona from Arizona.
ANSEL,m,English,From a surname that was derived from the given name ANSELM. A famous bearer was American photographer Ansel Adams (1902-1984).
ANSELM,m,"German, English (Rare), Ancient Germanic","Derived from the Germanic elements ans ""god"" and helm ""helmet, protection"". This name was brought to England in the late 11th century by Saint Anselm, who was born in northern Italy. He was archbishop of Canterbury and a Doctor of the Church."
ANSLEY,f,English (Modern),Variant of AINSLEY.
ANSON,m,English,"From a surname meaning ""son of AGNES""."
ANTHONY,m,English,"English form of the Roman family name Antonius, which is of unknown Etruscan origin. The most notable member of the Roman family was the general Marcus Antonius (called Mark Antony in English), who for a period in the 1st century BC ruled the Roman Empire jointly with Augustus. When their relationship turned sour, he and his mistress Cleopatra were attacked and forced to commit suicide, as related in Shakespeare's tragedy Antony and Cleopatra (1606).... [more]"
ANTON,m,"German, Russian, Swedish, Norwegian, Danish, Icelandic, Dutch, Bulgarian, Ukrainian, Belarusian, Slovene, Slovak, Macedonian, Croatian, Romanian, Estonian, Finnish, English",Form of Antonius (see ANTHONY) used in various languages.
ANTONETTE,f,English,Diminutive of ANTONIA.
ANTONIA,f,"Italian, Spanish, English, German, Swedish, Norwegian, Danish, Dutch, Romanian, Greek, Croatian, Bulgarian, Ancient Roman",Feminine form of Antonius (see ANTHONY).
ANTONY,m,English,"Variant of ANTHONY. This was formerly the usual English spelling of the name, but during the 17th century the h began to be added."
APRIL,f,English,"From the name of the month, probably originally derived from Latin aperire ""to open"", referring to the opening of flowers. It has only been commonly used as a given name since the 1940s."
ARABELLA,f,English,"Medieval Scottish name, probably a variant of ANNABEL. It has long been associated with Latin orabilis meaning ""invokable, yielding to prayer""."
ARAMINTA,f,English (Rare),"Meaning unknown. This name was (first?) used by William Congreve in his comedy The Old Bachelor (1693) and later by Sir John Vanbrugh in his comedy The Confederacy (1705). This was the real name of abolitionist Harriet Tubman (1820-1913), who was born Araminta Ross."
ARCHER,m,English,"From an English surname meaning ""bowman, archer"", of Old French origin."
ARCHIBALD,m,"Scottish, English","Derived from the Germanic elements ercan ""genuine"" and bald ""bold"". The first element was altered due to the influence of Greek names beginning with the element ἀρχός (archos) meaning ""master"". The Normans brought this name to England. It first became common in Scotland in the Middle Ages."
ARCHIE,m,"Scottish, English","Diminutive of ARCHIBALD. This name is borne by Archie Andrews, an American comic-book character created in 1941."
ARDATH,f,English,"From the name of a plain that appears in the apocryphal book of 2 Esdras (verse 9:26) in some versions of the Old Testament. This place name was used by Marie Corelli for the title of an 1889 novel, which is probably the reason it gained some currency as a given name just after this time."
ARDEN,m & f,English,"From an English surname, originally taken from various place names, which were derived from a Celtic word meaning ""high""."
ARDITH,f,English,Variant of ARDATH.
ARETHA,f,English,"Possibly derived from Greek ἀρετή (arete) meaning ""virtue"". This name was popularized in the 1960s by American singer Aretha Franklin (1942-)."
ARIA (1),f,English (Modern),"Means ""song, melody"" in Italian (literally means ""air""). An aria is an elaborate vocal solo, the type usually performed in operas. As an English name, it has only been in use since the 20th century. It is not common in Italy."
ARIAH,f,English (Modern),Variant of ARIA (1).
ARIANA,f,"Portuguese, English (Modern)",Portuguese form of ARIADNE.
ARIANNA,f,"Italian, English (Modern)",Italian form of ARIADNE.
ARIC,m,English,Variant of ERIC.
ARIEL,m & f,"Hebrew, English, French, Spanish, Biblical, Biblical Greek","Means ""lion of God"" in Hebrew, from אֲרִי ('ari) meaning ""lion"" and אֵל ('el) meaning ""God"". In the Old Testament it is used as another name for the city of Jerusalem. Shakespeare used it as the name of a spirit in his play The Tempest (1611), and one of the moons of Uranus bears this name in his honour. As an English name, it became more common for females in the 1980s, especially after it was used for the title character in the Disney film The Little Mermaid (1989)."
ARIELLA,f,English (Modern),Strictly feminine form of ARIEL.
ARIENNE,f,English (Rare),Variant of ARIANE.
ARIN,f & m,English (Rare),Variant of ERIN or AARON.
ARIYAH,f,English (Modern),Variant of ARIA (1).
ARLEEN,f,English,Variant of ARLINE.
ARLEN,m,English,"Meaning unknown, possibly from a surname."
ARLENE,f,English,Variant of ARLINE.
ARLIE,f & m,English,Diminutive of ARLINE and other names beginning with Arl.
ARLINE,f,English,"Meaning unknown, possibly invented by Michael William Balfe for the main character in his opera The Bohemian Girl (1843)."
ARLO,m,English,"Meaning uncertain. It was perhaps inspired by the fictional place name Arlo Hill from the poem The Faerie Queene (1590) by Edmund Spenser. Spenser probably got Arlo by altering the real Irish place name Aherlow, which is Gaelic meaning ""between two highlands""."
ARN,m,English,Short form of ARNOLD.
ARNIE,m,English,Diminutive of ARNOLD.
ARNOLD,m,"English, German, Dutch, Polish, Ancient Germanic","From a Germanic name meaning ""eagle power"", derived from the elements arn ""eagle"" and wald ""power"". The Normans brought it to England, where it replaced the Old English cognate Earnweald. It died out as an English name after the Middle Ages, but it was revived in the 19th century.... [more]"
ARRON,m,English,Variant of AARON.
ART,m,English,Short form of ARTHUR.
ARTHUR,m,"English, French, German, Dutch, Norwegian, Danish, Swedish, Welsh Mythology, Arthurian Romance","The meaning of this name is unknown. It could be derived from the Celtic elements artos ""bear"" combined with viros ""man"" or rigos ""king"". Alternatively it could be related to an obscure Roman family name Artorius.... [more]"
ARTIE,m & f,English,Diminutive and feminine form of ARTHUR.
ARVEL,m,English,"Meaning unknown, possibly a variant of ARWEL."
ARYANA,f,English (Modern),Variant of ARIANA.
ASH,m & f,English,Short form of ASHLEY. It can also come directly from the English word denoting either the tree or the residue of fire.
ASHER,m,"Hebrew, English, Biblical, Biblical Hebrew","Means ""happy, blessed"" in Hebrew. Asher in the Old Testament is a son of Jacob by Leah's handmaid Zilpah, and the ancestor of one of the twelve tribes of Israel. The meaning of his name is explained in Genesis 30:13."
ASHLEA,f,English (Modern),Feminine variant of ASHLEY.
ASHLEE,f,English (Modern),Feminine variant of ASHLEY.
ASHLEIGH,f,English (Modern),Feminine variant of ASHLEY.
ASHLEY,f & m,English,"From an English surname that was originally derived from place names meaning ""ash tree clearing"", from a combination of Old English æsc and leah. Until the 1960s it was more commonly given to boys in the United States, but it is now most often used on girls. It reached its height of popularity in America in 1987, but it did not become the highest ranked name until 1991, being overshadowed by the likewise-popular Jessica until then. In the United Kingdom it is still more common as a masculine name."
ASHLIE,f,English (Modern),Feminine variant of ASHLEY.
ASHLYN,f,English (Modern),Combination of ASHLEY and the popular name suffix lyn.
ASHLYNN,f,English (Modern),Variant of ASHLYN.
ASHTON,m & f,English,"From a surname that was originally derived from a place name that meant ""ash tree town"" in Old English."
ASIA (1),f,"English (Modern), Italian (Modern)","From the name of the continent, which is perhaps derived from Akkadian asu, meaning ""east""."
ASPEN,f,English (Modern),"From the English word for the tree, derived from Old English æspe. It is also the name of a ski resort in Colorado."
ASTER,f,English (Rare),"From the name of the flower, which is derived via Latin from Greek ἀστήρ (aster) meaning ""star""."
ASTON,m & f,English (Rare),"From a surname that was originally derived from either a place name meaning ""east town"" in Old English or from the given name ÆÐELSTAN."
ASTOR,m,English (Rare),"From a surname derived from Occitan astur meaning ""hawk""."
ASTRA,f,English (Rare),"Means ""star"", ultimately from Greek ἀστήρ (aster). This name has only been (rarely) used since the 20th century."
ATHELSTAN,m,English (Archaic),Modern form of ÆÐELSTAN. This name was revived in Britain the latter half of the 19th century.
ATHENA,f,"Greek Mythology, English","Meaning unknown. Athena was the Greek goddess of wisdom and warfare and the patron goddess of the city of Athens in Greece. It is likely that her name is derived from that of the city, not vice versa. The earliest mention of her seems to be a 15th-century BC Mycenaean Greek inscription from Knossos on Crete.... [more]"
AUBERON,m,English (Rare),"Norman French derivative of a Germanic name, probably ALBERICH."
AUBREE,f,English (Modern),Feminine variant of AUBREY.
AUBREY,m & f,English,"Norman French form of the Germanic name ALBERICH. As an English masculine name it was common in the Middle Ages, and was revived in the 19th century. Since the mid-1970s it has more frequently been given to girls, due to Bread's 1972 song Aubrey along with its similarity to the established feminine name Audrey."
AUBRIE,f,English (Modern),Variant of AUBREY.
AUDIE,f,English,Diminutive of AUDREY.
AUDLEY,m,English,"From a surname that was taken from a place name meaning ""EALDGYÐ's clearing"" in Old English."
AUDRA (2),f,English,"Variant of AUDREY, used since the 19th century."
AUDREA,f,English (Rare),Variant of AUDREY.
AUDREY,f,English,"Medieval diminutive of ÆÐELÞRYÐ. This was the name of a 7th-century saint, a princess of East Anglia who founded a monastery at Ely. It was also borne by a character in Shakespeare's comedy As You Like It (1599). At the end of the Middle Ages the name became rare due to association with the word tawdry (which was derived from St. Audrey, the name of a fair where cheap lace was sold), but it was revived in the 19th century. A famous bearer was British actress Audrey Hepburn (1929-1993)."
AUGUST,m,"German, Polish, Swedish, Norwegian, Danish, Catalan, English","German, Polish, Scandinavian and Catalan form of AUGUSTUS. This was the name of three Polish kings.... [more]"
AUGUSTA,f,"Italian, Portuguese, English, German, Ancient Roman","Feminine form of AUGUSTUS. It was introduced to Britain when King George III, a member of the German House of Hanover, gave this name to his second daughter in the 18th century."
AUGUSTINE (1),m,English,"From the Roman name Augustinus, itself derived from the Roman name AUGUSTUS. Saint Augustine of Hippo was a 5th-century Christian theologian and author from North Africa. For his contributions to Christian philosophy he is known as a Doctor of the Church. Due to his renown, the name came into general use in the Christian world. It became popular in England in the Middle Ages partly because of a second saint by this name, Augustine of Canterbury, a 6th-century Italian monk sent to England to convert the Anglo-Saxons."
